,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
359,http://www.wikidata.org/entity/Q7289695,,https://en.wikipedia.org/wiki/Ramakrishna_Sarada_Mission_Sister_Nivedita_Girls%27_School,Point(88.366012 22.602737),3.353,22.602737,88.366012,2.0,http://www.wikidata.org/entity/Q22713629,Ramkrishna Sarada Mission Sister Nivedita Girls' School,girls' school,C,yellow,,,,,,,
360,http://www.wikidata.org/entity/Q7372457,,https://en.wikipedia.org/wiki/Roxy_Cinema_(Kolkata),Point(88.3499 22.5622),1.848,22.5622,88.3499,2.0,http://www.wikidata.org/entity/Q41253,Roxy Cinema,movie theater,C,yellow,,,,,,,
361,http://www.wikidata.org/entity/Q7400183,,https://en.wikipedia.org/wiki/Sailendra_Sircar_Vidyalaya,Point(88.3685 22.5976),2.815,22.59760000013,88.368500000311,2.0,http://www.wikidata.org/entity/Q1713379,Sailendra Sirkar Vidyalaya,boys' school,C,yellow,,,,,,,
365,http://www.wikidata.org/entity/Q7419009,,https://en.wikipedia.org/wiki/Sanskrit_Collegiate_School,Point(88.364499999 22.575599999),0.334,22.575599999641,88.36449999998,2.0,http://www.wikidata.org/entity/Q1713379,Sanskrit Collegiate School,boys' school,C,yellow,,,,,,,
371,http://www.wikidata.org/entity/Q7588404,,https://en.wikipedia.org/wiki/St._James%27_School_(Kolkata),Point(88.3656 22.555),1.97,22.555,88.3656,2.0,http://www.wikidata.org/entity/Q67388747,St. James' School,urban school,C,yellow,,,,,,,
381,http://www.wikidata.org/entity/Q7937622,,https://en.wikipedia.org/wiki/Vivekananda_Institution,Point(88.31651 22.5784),4.907,22.578400000551,88.316510000547,2.0,http://www.wikidata.org/entity/Q1713379,Vivekananda Institution,boys' school,C,yellow,,,,,,,
385,http://www.wikidata.org/entity/Q11826456,,https://en.wikipedia.org/wiki/2011_AMRI_Hospital_fire,Point(88.3697 22.5697),0.68,22.5697,88.3697,2.0,http://www.wikidata.org/entity/Q7625093,2011 AMRI Hospital fire,structure fire,C,yellow,,,,,,,
391,http://www.wikidata.org/entity/Q16344888,,,Point(88.353055555 22.593055555),2.528,22.593055555556,88.353055555556,2.0,http://www.wikidata.org/entity/Q44539,Anandamoyee Kalibari,temple,C,yellow,,,,,,,
392,http://www.wikidata.org/entity/Q16893587,,https://en.wikipedia.org/wiki/Kolkata_Eye,Point(88.3453 22.5745),1.92,22.5745,88.3453,2.0,http://www.wikidata.org/entity/Q811979,Kolkata Eye,architectural structure,C,yellow,,,,,,,
393,http://www.wikidata.org/entity/Q16899442,,https://en.wikipedia.org/wiki/Royal_Calcutta_Turf_Club,Point(88.3509 22.5509),2.762,22.5509,88.3509,2.0,http://www.wikidata.org/entity/Q988108,Royal Calcutta Turf Club,club,C,yellow,,,,,,,
