,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,item,articleDE,articleEN,location,distance,sitelinks,thing,to_drop_key
142,https://www.atlasobscura.com/places/sasbahu-temples,26.223256,78.167927,"
Sasbahu Temples
","
A pair of nearly 1,000-year-old temples profusely covered in meticulous stone carvings.
22,,26.230047,78.168627,Gujari Mahal Archaeological Museum,,B,violet,,,archaeological museum,,,http://www.wikidata.org/entity/Q40888544,,https://en.wikipedia.org/wiki/Gujari_Mahal_Archaeological_Museum,Point(78.168627 26.230047),3.135,5.0,http://www.wikidata.org/entity/Q3329412,"('26.230047', '78.168627')"
23,,26.248468,78.174592,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",,C,yellow,,,academic institution,,,http://www.wikidata.org/entity/Q6020617,,https://en.wikipedia.org/wiki/Atal_Bihari_Vajpayee_Indian_Institute_of_Information_Technology_and_Management,Point(78.174592 26.248468),5.263,4.0,http://www.wikidata.org/entity/Q4671277,"('26.248468', '78.174592')"
25,,26.20085,78.194916666667,"Jiwaji University, Gwalior",,C,yellow,,,university,,,http://www.wikidata.org/entity/Q6203498,,https://en.wikipedia.org/wiki/Jiwaji_University,Point(78.194916666 26.20085),3.76,4.0,http://www.wikidata.org/entity/Q3918,"('26.20085', '78.194916666667')"
26,,26.190925,78.179022222222,Raja Mansingh Tomar Music & Arts University,,C,yellow,,,academic institution,,,http://www.wikidata.org/entity/Q13185359,,https://en.wikipedia.org/wiki/Raja_Mansingh_Tomar_Music_%26_Arts_University,Point(78.179022222 26.190925),2.587,4.0,http://www.wikidata.org/entity/Q4671277,"('26.190925', '78.179022222222')"
27,,26.185,78.285,Bandholi,,C,yellow,,,Village in India,,,http://www.wikidata.org/entity/Q4854568,,https://en.wikipedia.org/wiki/Bandholi,Point(78.285 26.185),12.904,3.0,http://www.wikidata.org/entity/Q56436498,"('26.185', '78.285')"
28,,26.194172,78.162004,Gajara Raja Medical College,,C,yellow,,,university,,,http://www.wikidata.org/entity/Q5517565,,https://en.wikipedia.org/wiki/Gajara_Raja_Medical_College,Point(78.162004 26.194172),1.159,3.0,http://www.wikidata.org/entity/Q3918,"('26.194172', '78.162004')"
29,,26.221521,78.178024,Gwalior inscription of Mihirakula,,C,yellow,,,geographical feature,,,http://www.wikidata.org/entity/Q5623269,,https://en.wikipedia.org/wiki/Gwalior_inscription_of_Mihirakula,Point(78.178024 26.221521),2.857,3.0,http://www.wikidata.org/entity/Q618123,"('26.221521', '78.178024')"
30,,26.143530555556,78.186611111111,Rail Spring Karkhana,,C,yellow,,,factory,,,http://www.wikidata.org/entity/Q7283915,,https://en.wikipedia.org/wiki/Rail_Spring_Karkhana,Point(78.186611111 26.143530555),7.302,3.0,http://www.wikidata.org/entity/Q83405,"('26.143530555556', '78.186611111111')"
33,,26.219208333333,78.198244444444,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,,C,yellow,,,university,,,http://www.wikidata.org/entity/Q16885121,,https://en.wikipedia.org/wiki/Rajmata_Vijayaraje_Scindia_Krishi_Vishwa_Vidyalaya,Point(78.198244444 26.219208333),4.427,3.0,http://www.wikidata.org/entity/Q3918,"('26.219208333333', '78.198244444444')"
34,,26.23087537,78.16993252,Chaturbhuj Temple,,C,yellow,,,Hindu temple,,,http://www.wikidata.org/entity/Q44545847,,"https://en.wikipedia.org/wiki/Chaturbhuj_Temple,_Gwalior",Point(78.16993252 26.23087537),3.269,3.0,http://www.wikidata.org/entity/Q842402,"('26.23087537', '78.16993252')"
