item,itemLabel,lat,lon,location,distance,sitelinks,thingLabel,thing,articleEN,articleDE
http://www.wikidata.org/entity/Q90720269,Kempegowda International Airport halt railway station,13.21066,77.67617,Point(77.67617 13.21066),28.614,4,airport railway station,http://www.wikidata.org/entity/Q1335652,https://en.wikipedia.org/wiki/Kempegowda_International_Airport_halt_railway_station,
http://www.wikidata.org/entity/Q90720269,Kempegowda International Airport halt railway station,13.21066,77.67617,Point(77.67617 13.21066),28.614,4,railway stop,http://www.wikidata.org/entity/Q55678,https://en.wikipedia.org/wiki/Kempegowda_International_Airport_halt_railway_station,
http://www.wikidata.org/entity/Q4682751,Adigondanahalli,12.812069444444,77.750388888889,Point(77.750388888 12.812069444),28.648,5,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Adigondanahalli,
http://www.wikidata.org/entity/Q20196111,Anekal Taluk,12.779,77.714,Point(77.714 12.779),28.648,3,taluk of Karnataka,http://www.wikidata.org/entity/Q122987724,,
http://www.wikidata.org/entity/Q17063819,Kannamangala,13.21666667,77.66666667,Point(77.66666667 13.21666667),28.749,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Kannamangala,
http://www.wikidata.org/entity/Q7424146,Sarjapura,12.86,77.786,Point(77.786 12.86),28.75,4,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Sarjapura,
http://www.wikidata.org/entity/Q49703417,Q49703417,13.219166666667,77.663055555556,Point(77.663055555 13.219166666),28.836,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q4691408,Agasarahalli,13.1335,77.3348,Point(77.3348 13.1335),28.926,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Agasarahalli_(Hosakote),
http://www.wikidata.org/entity/Q2723663,Savandurga,12.919654,77.292881,Point(77.292881 12.919654),29.029,12,hill,http://www.wikidata.org/entity/Q54050,https://en.wikipedia.org/wiki/Savandurga,
http://www.wikidata.org/entity/Q7510385,Siege of Savendroog,12.919654,77.292881,Point(77.292881 12.919654),29.029,1,siege,http://www.wikidata.org/entity/Q188055,https://en.wikipedia.org/wiki/Siege_of_Savendroog,
http://www.wikidata.org/entity/Q503364,Kempegowda International Airport,13.198888888889,77.705555555556,Point(77.705555555 13.198888888),29.146,46,international airport,http://www.wikidata.org/entity/Q644371,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,https://de.wikipedia.org/wiki/Flughafen_Bengaluru
http://www.wikidata.org/entity/Q503364,Kempegowda International Airport,13.198888888889,77.705555555556,Point(77.705555555 13.198888888),29.146,46,airport,http://www.wikidata.org/entity/Q1248784,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,https://de.wikipedia.org/wiki/Flughafen_Bengaluru
http://www.wikidata.org/entity/Q503364,Kempegowda International Airport,13.198888888889,77.705555555556,Point(77.705555555 13.198888888),29.146,46,greenfield airport,http://www.wikidata.org/entity/Q55612991,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,https://de.wikipedia.org/wiki/Flughafen_Bengaluru
http://www.wikidata.org/entity/Q503364,Kempegowda International Airport,13.198888888889,77.705555555556,Point(77.705555555 13.198888888),29.146,46,commercial traffic aerodrome,http://www.wikidata.org/entity/Q94993988,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,https://de.wikipedia.org/wiki/Flughafen_Bengaluru
http://www.wikidata.org/entity/Q4685969,"Adur, Bengaluru South",12.7382,77.6527,Point(77.6527 12.7382),29.311,3,village in India,http://www.wikidata.org/entity/Q56436498,"https://en.wikipedia.org/wiki/Adur,_Bangalore_South",
http://www.wikidata.org/entity/Q123717338,KIAL Terminals metro station,13.19809,77.71245,Point(77.71245 13.19809),29.504,1,metro station,http://www.wikidata.org/entity/Q928830,https://en.wikipedia.org/wiki/KIAL_Terminals_metro_station,
http://www.wikidata.org/entity/Q123717338,KIAL Terminals metro station,13.19809,77.71245,Point(77.71245 13.19809),29.504,1,airport railway station,http://www.wikidata.org/entity/Q1335652,https://en.wikipedia.org/wiki/KIAL_Terminals_metro_station,
http://www.wikidata.org/entity/Q97440659,Pre-Historic Site,12.92669928,77.28623001,Point(77.28623001 12.92669928),29.552,1,archaeological site,http://www.wikidata.org/entity/Q839954,,
http://www.wikidata.org/entity/Q5215757,Dandupalya,13.06666667,77.81666667,Point(77.81666667 13.06666667),30.063,4,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Dandupalya,
http://www.wikidata.org/entity/Q34883697,Dod Sanne Kere,13.220555555556,77.686666666667,Point(77.686666666 13.220555555),30.122,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q49703486,Q49703486,13.014166666667,77.83,Point(77.83 13.014166666),30.237,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q34889007,Hare Kere,13.242777777778,77.465277777778,Point(77.465277777 13.242777777),30.384,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q31205297,Kamblipur Gudda,13.118333333333,77.799166666667,Point(77.799166666 13.118333333),30.636,1,hill,http://www.wikidata.org/entity/Q54050,,
http://www.wikidata.org/entity/Q18110274,Bashettihalli,13.2601,77.5541,Point(77.5541 13.2601),30.797,3,suburb,http://www.wikidata.org/entity/Q188509,https://en.wikipedia.org/wiki/Bashettihalli,
http://www.wikidata.org/entity/Q18110274,Bashettihalli,13.292,77.543,Point(77.5541 13.2601),30.797,3,suburb,http://www.wikidata.org/entity/Q188509,https://en.wikipedia.org/wiki/Bashettihalli,
http://www.wikidata.org/entity/Q34931893,Uganvādi Kere,13.240277777778,77.663888888889,Point(77.663888888 13.240277777),31.023,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q4768948,Annekal Reserved Forest,12.704,77.591,Point(77.591 12.704),31.312,1,protected area,http://www.wikidata.org/entity/Q473972,https://en.wikipedia.org/wiki/Annekal_Reserved_Forest,
http://www.wikidata.org/entity/Q34877685,Bettakote Kere,13.210277777778,77.7275,Point(77.7275 13.210277777),31.561,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q4705600,Alahalli,13.265261,77.512296,Point(77.512296 13.265261),31.674,5,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Alahalli,
http://www.wikidata.org/entity/Q2087756,Devanahalli,13.23,77.7,Point(77.7 13.23),31.746,23,town,http://www.wikidata.org/entity/Q3957,https://en.wikipedia.org/wiki/Devanahalli,
http://www.wikidata.org/entity/Q24906623,"Venugopalaswamy Temple, Devanahalli",13.23,77.7,Point(77.7 13.23),31.746,4,Hindu temple,http://www.wikidata.org/entity/Q842402,"https://en.wikipedia.org/wiki/Venugopalaswamy_Temple,_Devanahalli",
http://www.wikidata.org/entity/Q34880304,Chik Sanne Kere,13.238888888889,77.684166666667,Point(77.684166666 13.238888888),31.801,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q7262460,Puttenahalli,13.185463888889,77.762194444444,Point(77.762194444 13.185463888),31.949,1,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Puttenahalli,
http://www.wikidata.org/entity/Q13609848,Vana Vishesha Sthalangal,12.853055555556,77.289722222222,Point(77.289722222 12.853055555),31.963,2,Hindu temple,http://www.wikidata.org/entity/Q842402,https://en.wikipedia.org/wiki/Vana_Vishesha_Sthalangal,
http://www.wikidata.org/entity/Q4682746,Adigarakallahalli,12.823561111111,77.800519444444,Point(77.800519444 12.823561111),32.187,5,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Adigarakallahalli,
http://www.wikidata.org/entity/Q4691123,Agalakote,13.2197,77.7266,Point(77.7266 13.2197),32.349,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Agalakote_(Magadi),
http://www.wikidata.org/entity/Q16888521,Rayasandra,13.21666667,77.73333333,Point(77.73333333 13.21666667),32.509,1,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Rayasandra,
http://www.wikidata.org/entity/Q4691388,Agasa Thimmanahalli,12.7101,77.6616,Point(77.6616 12.7101),32.572,4,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Agasa_Thimmanahalli,
http://www.wikidata.org/entity/Q25565573,Nelamangala Taluk,13.176,77.324,Point(77.324 13.176),32.765,3,taluk of Karnataka,http://www.wikidata.org/entity/Q122987724,,
http://www.wikidata.org/entity/Q4657925,Attibele,12.7768,77.768869444444,Point(77.768869444 12.7768),32.79,6,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Attibele,
http://www.wikidata.org/entity/Q31293984,Dodballapur railway station,13.27894,77.55016,Point(77.55016 13.27894),32.892,1,railway station,http://www.wikidata.org/entity/Q55488,,
http://www.wikidata.org/entity/Q4732337,Alliance University,12.729394444444,77.7093,Point(77.7093 12.729394444),32.925,2,university,http://www.wikidata.org/entity/Q3918,https://en.wikipedia.org/wiki/Alliance_University,
http://www.wikidata.org/entity/Q34890955,Hullūr Kere,13.103333333333,77.833888888889,Point(77.833888888 13.103333333),33.259,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q4682896,Adinarayana Hosahalli,13.28,77.6,Point(77.6 13.28),33.403,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Adinarayana_Hosahalli,
http://www.wikidata.org/entity/Q1193486,Dasarahalli,13.098730555556,77.838888888889,Point(77.838888888 13.098730555),33.557,20,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Dasarahalli,
http://www.wikidata.org/entity/Q7636252,Sulibele,13.1667,77.8,Point(77.8 13.1667),33.672,4,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Sulibele,
http://www.wikidata.org/entity/Q34880315,Chikane Kere,13.167777777778,77.304166666667,Point(77.304166666 13.167777777),33.856,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q49703448,Q49703448,13.213611111111,77.347222222222,Point(77.347222222 13.213611111),33.942,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q5266481,Devanahalli Fort,13.24956863,77.70836596,Point(77.70836596 13.24956863),34.084,6,geographical feature,http://www.wikidata.org/entity/Q618123,https://en.wikipedia.org/wiki/Devanahalli_Fort,
http://www.wikidata.org/entity/Q5266481,Devanahalli Fort,13.24956863,77.70836596,Point(77.70836596 13.24956863),34.084,6,fort,http://www.wikidata.org/entity/Q1785071,https://en.wikipedia.org/wiki/Devanahalli_Fort,
http://www.wikidata.org/entity/Q11922629,Fort Devanahalli,13.249309,77.708832,Point(77.708832 13.249309),34.084,1,fortress,http://www.wikidata.org/entity/Q57831,,
http://www.wikidata.org/entity/Q19881971,Anekal derailment,12.718072,77.710795,Point(77.710795 12.718072),34.091,3,train wreck,http://www.wikidata.org/entity/Q1078765,https://en.wikipedia.org/wiki/Anekal_derailment,
http://www.wikidata.org/entity/Q34892171,Jadgenhalli Kere,13.052777777778,77.860277777778,Point(77.860277777 13.052777777),34.205,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q4658187,A Medihalli,12.7081,77.69426,Point(77.69426 12.7081),34.214,6,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/A_Medihalli,
http://www.wikidata.org/entity/Q5555922,Ghati Subramanya,13.292,77.543,Point(77.543 13.292),34.359,5,temple,http://www.wikidata.org/entity/Q44539,https://en.wikipedia.org/wiki/Ghati_Subramanya,
http://www.wikidata.org/entity/Q6370175,Karepura,13.292,77.543,Point(77.543 13.292),34.359,1,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Karepura,
http://www.wikidata.org/entity/Q18110274,Bashettihalli,13.2601,77.5541,Point(77.543 13.292),34.359,3,suburb,http://www.wikidata.org/entity/Q188509,https://en.wikipedia.org/wiki/Bashettihalli,
http://www.wikidata.org/entity/Q18110274,Bashettihalli,13.292,77.543,Point(77.543 13.292),34.359,3,suburb,http://www.wikidata.org/entity/Q188509,https://en.wikipedia.org/wiki/Bashettihalli,
http://www.wikidata.org/entity/Q18125774,Hulikunte,13.292,77.543,Point(77.543 13.292),34.359,2,Gram panchayat,http://www.wikidata.org/entity/Q2732840,https://en.wikipedia.org/wiki/Hulikunte,
http://www.wikidata.org/entity/Q24943409,Tubagere,13.292,77.543,Point(77.543 13.292),34.359,4,town,http://www.wikidata.org/entity/Q3957,https://en.wikipedia.org/wiki/Tubagere,
http://www.wikidata.org/entity/Q24943647,Doddaballapura City Municipal Council,13.292,77.543,Point(77.543 13.292),34.359,1,municipal corporation in India,http://www.wikidata.org/entity/Q6936225,https://en.wikipedia.org/wiki/Doddaballapura_City_Municipal_Council,
http://www.wikidata.org/entity/Q28405304,Goraghatta,13.292,77.543,Point(77.543 13.292),34.359,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Goraghatta,
http://www.wikidata.org/entity/Q1264006,Doddaballapura,13.292,77.543,Point(77.543 13.292),34.359,19,city,http://www.wikidata.org/entity/Q515,https://en.wikipedia.org/wiki/Doddaballapura,https://de.wikipedia.org/wiki/Doddaballapur
http://www.wikidata.org/entity/Q28457299,"St. Joseph's PU College, Anekal",12.711325,77.70435833,Point(77.70435833 12.711325),34.403,1,school,http://www.wikidata.org/entity/Q3914,"https://en.wikipedia.org/wiki/St._Joseph%27s_PU_College,_Anekal",
http://www.wikidata.org/entity/Q34893590,Kalalgatta Kere,13.200555555556,77.326111111111,Point(77.326111111 13.200555555),34.45,1,reservoir,http://www.wikidata.org/entity/Q131681,,
http://www.wikidata.org/entity/Q24949291,Thattekere,12.67209,77.57345,Point(77.57345 12.67209),34.657,6,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Thattekere,
http://www.wikidata.org/entity/Q4880432,Begepalli,12.78333333,77.8,Point(77.8 12.78333333),34.812,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Begepalli,
http://www.wikidata.org/entity/Q17053897,Govinda Agraharam,12.78333333,77.8,Point(77.8 12.78333333),34.812,3,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Govinda_Agraharam,
http://www.wikidata.org/entity/Q6747211,Manchenahalli,13.294722222222,77.595833333333,Point(77.595833333 13.294722222),34.959,2,village in India,http://www.wikidata.org/entity/Q56436498,https://en.wikipedia.org/wiki/Manchenahalli,
http://www.wikidata.org/entity/Q6943914,Muthyalamaduvu,12.688097222222,77.664486111111,Point(77.664486111 12.688097222),34.97,6,waterfall,http://www.wikidata.org/entity/Q34038,https://en.wikipedia.org/wiki/Muthyala_Maduvu,
http://www.wikidata.org/entity/Q2237425,Magadi,12.97,77.23,Point(77.23 12.97),34.998,22,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Magadi,
http://www.wikidata.org/entity/Q2237425,Magadi,12.957,77.2231,Point(77.23 12.97),34.998,22,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Magadi,
http://www.wikidata.org/entity/Q49703279,Q49703279,13.113611111111,77.2575,Point(77.2575 13.113611111),35.116,1,intermittent reservoir,http://www.wikidata.org/entity/Q55470036,,
http://www.wikidata.org/entity/Q25565590,Ramanagaram Taluk,12.752,77.331,Point(77.331 12.752),35.187,3,taluk of Karnataka,http://www.wikidata.org/entity/Q122987724,,
http://www.wikidata.org/entity/Q24935461,Chikka Tirupati,12.89555556,77.86527778,Point(77.86527778 12.89555556),35.242,2,religious site,http://www.wikidata.org/entity/Q105889895,https://en.wikipedia.org/wiki/Chikka_Tirupati,
http://www.wikidata.org/entity/Q588701,Anekal,12.7,77.7,Point(77.7 12.7),35.298,19,human settlement,http://www.wikidata.org/entity/Q486972,https://en.wikipedia.org/wiki/Anekal,
