,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color
275,http://www.wikidata.org/entity/Q97705541,,,Point(80.893481107 26.85510684),4.496,26.85510684041,80.893481107807,1,http://www.wikidata.org/entity/Q24398318,Dianut-ud-daula's Karbala,religious building,D,blue
276,http://www.wikidata.org/entity/Q97705550,,,Point(80.895956779 26.855220678),4.28,26.855220678914,80.895956779052,1,http://www.wikidata.org/entity/Q697295,Kaz-Main Buildings,shrine,D,blue
277,http://www.wikidata.org/entity/Q97705554,,,Point(80.926111111 26.875277777),4.219,26.875277777778,80.926111111111,1,http://www.wikidata.org/entity/Q697295,Nasir-ud-din Haider's Karbala in Daliganj,shrine,D,blue
278,http://www.wikidata.org/entity/Q97705557,,,Point(80.907565116 26.875002952),4.902,26.875002952639,80.907565116361,1,http://www.wikidata.org/entity/Q61533563,Hussainabad Baradari,Pavallion,D,blue
279,http://www.wikidata.org/entity/Q97705564,,,Point(80.92386646 26.853238876),1.992,26.853238876435,80.923866460925,1,http://www.wikidata.org/entity/Q381885,Tomb of Janab Aliya,tomb,D,blue
280,http://www.wikidata.org/entity/Q97705572,,,Point(80.934674893 26.854145621),1.784,26.85414562117,80.934674893531,1,http://www.wikidata.org/entity/Q381885,"Tomb of Mushir Zadi, wife of Saadat Ali Khan",tomb,D,blue
281,http://www.wikidata.org/entity/Q97705579,,,Point(80.949228859 26.90282885),7.342,26.90282885054,80.949228859566,1,http://www.wikidata.org/entity/Q39614,Cemetery,cemetery,D,blue
282,http://www.wikidata.org/entity/Q97705585,,,Point(80.774345705 26.883354569),16.674,26.883354569148,80.774345705814,1,http://www.wikidata.org/entity/Q12280,Bridge over the Beta river and temple attached to it,bridge,D,blue
284,http://www.wikidata.org/entity/Q106153800,,https://en.wikipedia.org/wiki/Mohanlalganj,Point(80.98237 26.67985),18.224,26.67985,80.98237,1,http://www.wikidata.org/entity/Q56061,Mohanlalganj,administrative territorial entity,D,blue
285,http://www.wikidata.org/entity/Q106200301,,https://en.wikipedia.org/wiki/Digoi,Point(80.9196 27.02067),20.354,27.02067,80.9196,1,http://www.wikidata.org/entity/Q56061,Digoi,administrative territorial entity,D,blue
