,item,articleDE,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,articleEN,tier,color
119,http://www.wikidata.org/entity/Q896322,https://de.wikipedia.org/wiki/Drachenfelsbahn,Point(7.19778 50.6747),9.644,50.6747,7.19778,7,http://www.wikidata.org/entity/Q378445,Drachenfels Railway,rack railway,https://en.wikipedia.org/wiki/Drachenfels_Railway,B,violet
120,http://www.wikidata.org/entity/Q450087,https://de.wikipedia.org/wiki/Hardtberg,Point(7.053888888 50.713611111),4.117,50.713611111111,7.0538888888889,7,http://www.wikidata.org/entity/Q2740635,Hardtberg,Stadtbezirk,https://en.wikipedia.org/wiki/Hardtberg,B,violet
122,http://www.wikidata.org/entity/Q467065,https://de.wikipedia.org/wiki/Region_K%C3%B6ln/Bonn,Point(7.0 50.83),12.636,50.83,7.0,7,http://www.wikidata.org/entity/Q43229,Cologne Bonn Region,organization,https://en.wikipedia.org/wiki/Cologne_Bonn_Region,B,violet
123,http://www.wikidata.org/entity/Q883438,https://de.wikipedia.org/wiki/Hanfbach,Point(7.289941666 50.773705555),13.964,50.77370556,7.28994167,7,http://www.wikidata.org/entity/Q4022,Hanfbach,river,https://en.wikipedia.org/wiki/Hanfbach,B,violet
130,http://www.wikidata.org/entity/Q317097,https://de.wikipedia.org/wiki/Abtei_St._Michael_(Siegburg),Point(7.21092 50.7957),10.218,50.7957,7.21092,7,http://www.wikidata.org/entity/Q160742,"Michaelsberg Abbey, Siegburg",abbey,"https://en.wikipedia.org/wiki/Michaelsberg_Abbey,_Siegburg",B,violet
131,http://www.wikidata.org/entity/Q724498,https://de.wikipedia.org/wiki/Gro%C3%9Fer_%C3%96lberg,Point(7.24833 50.6822),11.987,50.6822,7.24833,6,http://www.wikidata.org/entity/Q8502,Großer Ölberg,mountain,https://en.wikipedia.org/wiki/Gro%C3%9Fer_%C3%96lberg,B,violet
132,http://www.wikidata.org/entity/Q1006266,https://de.wikipedia.org/wiki/Bundeskanzleramt_(Bonn),Point(7.11917 50.7193),2.255,50.7193,7.11917,6,http://www.wikidata.org/entity/Q16831714,Bundeskanzleramt Bonn,government building,https://en.wikipedia.org/wiki/Federal_Chancellery_(Bonn),B,violet
133,http://www.wikidata.org/entity/Q897297,https://de.wikipedia.org/wiki/Kloster_Heisterbach,Point(7.21389 50.6953),9.158,50.6953,7.21389,6,http://www.wikidata.org/entity/Q160742,Heisterbach Abbey,abbey,https://en.wikipedia.org/wiki/Heisterbach_Abbey,B,violet
135,http://www.wikidata.org/entity/Q1242943,https://de.wikipedia.org/wiki/Doppelgrab_von_Oberkassel,Point(7.17464 50.7144),5.728,50.7144,7.17464,6,http://www.wikidata.org/entity/Q839954,Q1242943,archaeological site,,B,violet
136,http://www.wikidata.org/entity/Q1279445,https://de.wikipedia.org/wiki/Friesdorf_(Bonn),Point(7.12841 50.6976),4.68,50.6976,7.12841,6,http://www.wikidata.org/entity/Q253019,Friesdorf,Ortsteil,https://en.wikipedia.org/wiki/Friesdorf_(Bonn),B,violet
137,http://www.wikidata.org/entity/Q1430657,https://de.wikipedia.org/wiki/Flugbereitschaft_des_Bundesministeriums_der_Verteidigung,Point(7.12083 50.8639),14.308,50.8639,7.12083,6,http://www.wikidata.org/entity/Q45364,Executive Transport Wing (German Air Force),wing,https://en.wikipedia.org/wiki/Executive_Transport_Wing_(German_Air_Force),B,violet
139,http://www.wikidata.org/entity/Q826924,https://de.wikipedia.org/wiki/Heilsbach_(Hardtbach),Point(7.04078 50.7212),4.518,50.7212,7.04078,6,http://www.wikidata.org/entity/Q4022,Heilsbach,river,https://en.wikipedia.org/wiki/Heilsbach,B,violet
140,http://www.wikidata.org/entity/Q826983,https://de.wikipedia.org/wiki/G%C3%B6tgesbach,Point(7.071416666 50.690055555),5.492,50.690055555556,7.0714166666667,6,http://www.wikidata.org/entity/Q4022,Götgesbach,river,https://en.wikipedia.org/wiki/G%C3%B6ttchesbach,B,violet
141,http://www.wikidata.org/entity/Q827059,https://de.wikipedia.org/wiki/Dichbach,Point(7.04639 50.7089),4.855,50.7089,7.04639,6,http://www.wikidata.org/entity/Q4022,Dichbach,river,https://en.wikipedia.org/wiki/Dichbach,B,violet
142,http://www.wikidata.org/entity/Q477567,https://de.wikipedia.org/wiki/Namen-Jesu-Kirche_(Bonn),Point(7.101253 50.736244),0.06,50.736244,7.101253,6,http://www.wikidata.org/entity/Q56395672,Holy Name Church,Jesuit church,,B,violet
144,http://www.wikidata.org/entity/Q828675,https://de.wikipedia.org/wiki/Melbbach,Point(7.11161 50.729),1.084,50.729,7.11161,6,http://www.wikidata.org/entity/Q4022,Melbbach,river,https://en.wikipedia.org/wiki/Melbbach,B,violet
145,http://www.wikidata.org/entity/Q880470,https://de.wikipedia.org/wiki/Wahnbach_(Sieg),Point(7.271752777 50.793858333),13.652,50.946016666667,7.4232611111111,6,http://www.wikidata.org/entity/Q4022,Wahnbach,river,https://en.wikipedia.org/wiki/Wahnbach,B,violet
151,http://www.wikidata.org/entity/Q880975,https://de.wikipedia.org/wiki/Ippendorf,Point(7.083611111 50.697777777),4.4,50.697777777778,7.0836111111111,6,http://www.wikidata.org/entity/Q253019,Ippendorf,Ortsteil,,B,violet
152,http://www.wikidata.org/entity/Q1533758,https://de.wikipedia.org/wiki/Godesberger_Bach,Point(7.17087 50.6951),6.705,50.6951,7.17087,6,http://www.wikidata.org/entity/Q4022,Godesberger Bach,river,https://en.wikipedia.org/wiki/Godesberger_Bach,B,violet
153,http://www.wikidata.org/entity/Q2401706,https://de.wikipedia.org/wiki/Telekom_Dome,Point(7.060263888 50.705186111),4.44,50.705186111111,7.0602638888889,6,http://www.wikidata.org/entity/Q41176,Telekom Dome,building,https://en.wikipedia.org/wiki/Telekom_Dome,B,violet
154,http://www.wikidata.org/entity/Q15787496,https://de.wikipedia.org/wiki/Belagerung_von_Bonn_(1689),Point(7.099722222 50.733888888),0.228,50.733888888889,7.0997222222222,6,http://www.wikidata.org/entity/Q188055,Siege of Bonn,siege,https://en.wikipedia.org/wiki/Siege_of_Bonn_(1689),B,violet
