,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
145,,39.7391,-104.942,National Jewish Health,,C,yellow,,,research institute,,Point(-104.942 39.7391),3.665,http://www.wikidata.org/entity/Q6973875,4.0,,,https://en.wikipedia.org/wiki/National_Jewish_Health,http://www.wikidata.org/entity/Q31855,"('39.7391', '-104.942')"
146,,39.8283,-104.859,Rocky Mountain Arsenal,,C,yellow,,,factory,,Point(-104.859 39.8283),14.619,http://www.wikidata.org/entity/Q7355871,4.0,,,https://en.wikipedia.org/wiki/Rocky_Mountain_Arsenal,http://www.wikidata.org/entity/Q83405,"('39.8283', '-104.859')"
148,,39.7446,-104.996,Spire,,C,yellow,,,skyscraper,,Point(-104.996 39.7446),1.124,http://www.wikidata.org/entity/Q7577797,4.0,,,https://en.wikipedia.org/wiki/Spire_(Denver),http://www.wikidata.org/entity/Q11303,"('39.7446', '-104.996')"
149,,39.751389,-104.959722,St. Ignatius Loyola Church,,C,yellow,,,church building,,Point(-104.959722 39.751389),2.539,http://www.wikidata.org/entity/Q7588361,4.0,,,https://en.wikipedia.org/wiki/St._Ignatius_Loyola_Church_(Denver),http://www.wikidata.org/entity/Q16970,"('39.751389', '-104.959722')"
150,,39.7525,-105.004,Museum of Contemporary Art Denver,,C,yellow,,,nonprofit organization,,Point(-105.004 39.7525),2.203,http://www.wikidata.org/entity/Q16895577,4.0,,,https://en.wikipedia.org/wiki/Museum_of_Contemporary_Art_Denver,http://www.wikidata.org/entity/Q163740,"('39.7525', '-105.004')"
153,,39.747777777778,-104.99944444444,Larimer Square,,C,yellow,,,city block,,Point(-104.999444444 39.747777777),1.567,http://www.wikidata.org/entity/Q30590441,4.0,,,"https://en.wikipedia.org/wiki/Larimer_Square,_Denver",http://www.wikidata.org/entity/Q1348006,"('39.747777777778', '-104.99944444444')"
155,,39.73527778,-104.90611111,Richthofen Castle,,C,yellow,,,mansion,,Point(-104.90611111 39.73527778),6.748,http://www.wikidata.org/entity/Q30622005,4.0,,,https://en.wikipedia.org/wiki/Richthofen_Castle,http://www.wikidata.org/entity/Q1802963,"('39.73527778', '-104.90611111')"
156,,39.730085,-105.109007,"Denver Museum of Miniatures, Dolls and Toys",,C,yellow,,,doll museum,,Point(-105.109007 39.730085),10.664,http://www.wikidata.org/entity/Q5259750,4.0,,"https://de.wikipedia.org/wiki/Denver_Museum_of_Miniatures,_Dolls_and_Toys","https://en.wikipedia.org/wiki/Denver_Museum_of_Miniatures,_Dolls_and_Toys",http://www.wikidata.org/entity/Q1850552,"('39.730085', '-105.109007')"
158,,39.7486,-104.997,16th Street Mall,,C,yellow,,,pedestrian zone,,Point(-104.997 39.7486),1.47,http://www.wikidata.org/entity/Q527049,3.0,,,https://en.wikipedia.org/wiki/16th_Street_Mall,http://www.wikidata.org/entity/Q369730,"('39.7486', '-104.997')"
160,,39.748333,-104.995278,Daniels & Fisher Tower,,C,yellow,,,commercial building,,Point(-104.995278 39.748333),1.348,http://www.wikidata.org/entity/Q901770,3.0,,,https://en.wikipedia.org/wiki/Daniels_%26_Fisher_Tower,http://www.wikidata.org/entity/Q655686,"('39.748333', '-104.995278')"
161,,39.7444,-104.997,Denver Performing Arts Complex,,C,yellow,,,performing arts center,,Point(-104.997 39.7444),1.186,http://www.wikidata.org/entity/Q3023372,3.0,,,https://en.wikipedia.org/wiki/Denver_Performing_Arts_Complex,http://www.wikidata.org/entity/Q3469910,"('39.7444', '-104.997')"
162,,39.6703,-104.975,AdventHealth Porter,,C,yellow,,,non-profit hospital,,Point(-104.975 39.6703),7.711,http://www.wikidata.org/entity/Q3145247,3.0,,,https://en.wikipedia.org/wiki/AdventHealth_Porter,http://www.wikidata.org/entity/Q7048982,"('39.6703', '-104.975')"
163,,39.7981,-105.054,Ralston Creek,,C,yellow,,,river,,Point(-105.054 39.7981),8.818,http://www.wikidata.org/entity/Q3418317,3.0,,,https://en.wikipedia.org/wiki/Ralston_Creek_(Colorado),http://www.wikidata.org/entity/Q4022,"('39.7981', '-105.054')"
164,,39.6783,-104.962,Josef Korbel School of International Studies,,C,yellow,,,academic institution,,Point(-104.962 39.6783),7.052,http://www.wikidata.org/entity/Q3577962,3.0,,,https://en.wikipedia.org/wiki/Josef_Korbel_School_of_International_Studies,http://www.wikidata.org/entity/Q4671277,"('39.6783', '-104.962')"
165,,39.7503,-104.995,17th Street Plaza,,C,yellow,,,skyscraper,,Point(-104.995 39.7503),1.505,http://www.wikidata.org/entity/Q4553686,3.0,,,https://en.wikipedia.org/wiki/17th_Street_Plaza,http://www.wikidata.org/entity/Q11303,"('39.7503', '-104.995')"
166,,39.745867,-104.99007,621 17th Street,,C,yellow,,,skyscraper,,Point(-104.99007 39.745867),0.861,http://www.wikidata.org/entity/Q4641833,3.0,,,https://en.wikipedia.org/wiki/621_17th_Street,http://www.wikidata.org/entity/Q11303,"('39.745867', '-104.99007')"
167,,39.746599,-104.989919,633 17th Street,,C,yellow,,,skyscraper,,Point(-104.989919 39.746599),0.926,http://www.wikidata.org/entity/Q4641918,3.0,,,https://en.wikipedia.org/wiki/633_17th_Street,http://www.wikidata.org/entity/Q11303,"('39.746599', '-104.989919')"
168,,39.7471,-104.99,707 17th Street,,C,yellow,,,building,,Point(-104.99 39.7471),0.978,http://www.wikidata.org/entity/Q4642996,3.0,,,https://en.wikipedia.org/wiki/707_17th_Street,http://www.wikidata.org/entity/Q41176,"('39.7471', '-104.99')"
169,,39.7451,-104.838,Anschutz Medical Campus,,C,yellow,,,campus,,Point(-104.838 39.7451),12.573,http://www.wikidata.org/entity/Q4770537,3.0,,,https://en.wikipedia.org/wiki/University_of_Colorado_Anschutz,http://www.wikidata.org/entity/Q209465,"('39.7451', '-104.838')"
171,,39.74701,-104.99257,Boston Building,,C,yellow,,,commercial building,,Point(-104.99257 39.74701),1.087,http://www.wikidata.org/entity/Q4947785,3.0,,,https://en.wikipedia.org/wiki/Boston_Building,http://www.wikidata.org/entity/Q655686,"('39.74701', '-104.99257')"
175,,39.7136,-104.939,Cableland,,C,yellow,,,official residence,,Point(-104.939 39.7136),4.848,http://www.wikidata.org/entity/Q5015703,3.0,,,https://en.wikipedia.org/wiki/Cableland,http://www.wikidata.org/entity/Q481289,"('39.7136', '-104.939')"
176,,39.737778,-104.9775,Cathedral of St. John in the Wilderness,,C,yellow,,,Anglican or Episcopal cathedral,,Point(-104.9775 39.737778),0.65,http://www.wikidata.org/entity/Q5052395,3.0,,,https://en.wikipedia.org/wiki/Cathedral_of_St._John_in_the_Wilderness,http://www.wikidata.org/entity/Q56242250,"('39.737778', '-104.9775')"
177,,39.721111,-104.901111,Chapel No. 1,,C,yellow,,,chapel,,Point(-104.901111 39.721111),7.44,http://www.wikidata.org/entity/Q5073038,3.0,,,https://en.wikipedia.org/wiki/Chapel_No._1,http://www.wikidata.org/entity/Q108325,"('39.721111', '-104.901111')"
