,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
3,,41.0308296,28.9762384,Netherlands ,,wikivoyage,red,"İstiklal Cd 197, Beyoğlu ",https://www.netherlandsandyou.nl/your-country-and-the-netherlands/turkey/about-us/consulate-general-in-istanbul ,Cope_Consulates,"(41.0308296, 28.9762384)",,,,,,,,,"(41.0308296, 28.9762384)"
13,,41.0330901,28.9805858,Greece ,,wikivoyage,red,"Turnacıbaşı Sk 22, Beyoğlu ",http://www.mfa.gr/turkey/tr/consulate-general-in-istanbul,Cope_Consulates,"(41.0330901, 28.9805858)",,,,,,,,,"(41.0330901, 28.9805858)"
4,,41.0360297,28.9848607,Belgium ,,wikivoyage,red,"Sıraselviler Cd 39, Taksim ",http://diplomatie.be/istanbul/ ,Cope_Consulates,"(41.0360297, 28.9848607)",,,,,,,,,"(41.0360297, 28.9848607)"
3,,41.0857834,29.0265402,Azerbaijan ,,wikivoyage,red,"Zeytinoğlu Cd 65, Akatlar ",https://istanbul.mfa.gov.az ,Cope_Consulates,"(41.0857834, 29.0265402)",,,,,,,,,"(41.0857834, 29.0265402)"
1,,41.0406727,28.9916999,Australia ,,wikivoyage,red,"Asker Ocağı Cd 15, Elmadağ ", ,Cope_Consulates,"(41.0406727, 28.9916999)",,,,,,,,,"(41.0406727, 28.9916999)"
0,,41.0844803,29.0326731,Argentina ,,wikivoyage,red,"Tepecik Yolu 58, Etiler ", ,Cope_Consulates,"(41.0844803, 29.0326731)",,,,,,,,,"(41.0844803, 29.0326731)"
0,,41.00774,28.97703,Tourism Police ,,wikivoyage,red,Divan Yolu Cd ,https://www.instagram.com/istanbultourismpolice/?hl,Stay safe_Tourism Police,"(41.00774, 28.97703)",,,,,,,,,"(41.00774, 28.97703)"
1,,41.006381,28.9758715,--,,wikivoyage,red,,,Stay safe_Stalking,"(41.006381, 28.9758715)",,,,,,,,,"(41.006381, 28.9758715)"
4,,41.0234354,28.9772166,Karaköy,"'''Karaköy''' is the rising star of the city, with its underground parties with views over the Marmara Sea.",wikivoyage,red,,,Drink,"(41.0234354, 28.9772166)",,,,,,,,,"(41.0234354, 28.9772166)"
3,,40.9807198,29.0787763,Istanbul/Kadikoy|Kadıköy,"'''Istanbul/Kadikoy|Kadıköy''' also has a compact nightlife scene, serving mostly locals of this part of the city. It's easy-going, with local pubs and wine houses.",wikivoyage,red,,,Drink,"(40.9807198, 29.0787763)",,,,,,,,,"(40.9807198, 29.0787763)"
2,,41.0254422,28.9741861,Istanbul/Galata|Beyoğlu,"'''Istanbul/Galata|Beyoğlu''' has lively night life, with cafes and bars with live music.",wikivoyage,red,,,Drink,"(41.0254422, 28.9741861)",,,,,,,,,"(41.0254422, 28.9741861)"
4,,41.0303,28.9778,Tomtom Suites ,"Wonderful hotel with spacious luxury suites in the 1850s home of the Soeurs Gardes Malades, a Franciscan order. Tomtom was a captain in the Ottoman navy.",wikivoyage,red,"Tomtom Kaptan Sk 18, off Boğazkesen Cd ",https://www.tomtomsuites.com ,Sleep_Splurge,"(41.0303, 28.9778)",,,,,,,,,"(41.0303, 28.9778)"
3,,41.0291,28.9821,Witt Istanbul Hotel ,Modern hotel with 17 suites in Scandi style. It's up a steep hill from the tram stop.,wikivoyage,red,Defterdar Yokuşu 26 ,https://www.wittistanbul.com ,Sleep_Splurge,"(41.0291, 28.9821)",,,,,,,,,"(41.0291, 28.9821)"
2,,41.0364,28.9863,Marmara Taksim ,"Occasion lapses, but mostly glowing reviews for this upscale hotel with great views over the Bosphorus.",wikivoyage,red,"Osmanlı Sk 1, Taksim Meydanı ",https://www.themarmarahotels.com/taksim ,Sleep_Splurge,"(41.0364, 28.9863)",,,,,,,,,"(41.0364, 28.9863)"
1,,41.031,28.9735,Pera Palace ,"Opened in 1892 and sitting on a hill overlooking the Golden Horn. They make much of their history, and a stellar cast of celebs have stayed here, including Agatha Christie. They claim she wrote ''Murder on the Orient Express'' in room 411, though she probably wrote the first draft in Arpachiyah in Iraq. Atatürk often used Room 101 in the early days of the Republic, and that's now a museum.",wikivoyage,red,Meşrutiyet Cd 52 ,https://perapalace.com ,Sleep_Splurge,"(41.031, 28.9735)",,,,,,,,,"(41.031, 28.9735)"
0,,41.0399,28.9883,Intercontinental Istanbul ,"Smart efficient hotel, the bar has stunning views in the evening. Mixed reviews for the restaurants.",wikivoyage,red,Asker Ocağı Cd 1 ,https://www.ihg.com/ ,Sleep_Splurge,"(41.0399, 28.9883)",,,,,,,,,"(41.0399, 28.9883)"
5,,41.0343,28.9809,Misafir Suites ,"Huge chic modern rooms, but poor soundproofing for such a busy central spot.",wikivoyage,red,Gazeteci Erol Dernek Sk 1 ,https://8istanbul.com/ ,Sleep_Mid-range,"(41.0343, 28.9809)",,,,,,,,,"(41.0343, 28.9809)"
4,,41.0298,28.9756,Richmond Istanbul ,Pleasant hotel in Beyoğlu district. ,wikivoyage,red,İstiklal Cd 227 ,https://www.richmondhotels.com.tr/richmond-istanbul-taksim-beyoglu-oteli/ ,Sleep_Mid-range,"(41.0298, 28.9756)",,,,,,,,,"(41.0298, 28.9756)"
3,,41.0252857,28.9727922,--,,wikivoyage,red,,,Sleep_Mid-range,"(41.0252857, 28.9727922)",,,,,,,,,"(41.0252857, 28.9727922)"
2,,41.0305,28.9719,Radisson Blu ,Slick welcoming hotel. ,wikivoyage,red,Refik Saydam Cd 19 ,https://www.radissonhotels.com/en-us/hotels/radisson-blu-istanbul-pera ,Sleep_Mid-range,"(41.0305, 28.9719)",,,,,,,,,"(41.0305, 28.9719)"
1,,41.0389,28.9849,Midtown Hotel Istanbul ,Smart business hotel.,wikivoyage,red,Lamartin Cd 13 ,https://www.midtown-hotel.com ,Sleep_Mid-range,"(41.0389, 28.9849)",,,,,,,,,"(41.0389, 28.9849)"
0,,41.0265,28.9747,World House Hotel ,"Clean friendly hotel, no longer a hostel. No catering but there's a coffee shop below.",wikivoyage,red,Galip Dede Cd 85 ,https://www.worldhousebh.com/ ,Sleep_Mid-range,"(41.0265, 28.9747)",,,,,,,,,"(41.0265, 28.9747)"
0,,41.0339,28.9789,Hotel Mara ,Central but tatty.,wikivoyage,red,"Turnacıbaşı Cd 4, off Istikal Cd ",https://www.hotelmaraistanbul.com/ ,Sleep_Budget,"(41.0339, 28.9789)",,,,,,,,,"(41.0339, 28.9789)"
5,,41.0265013,28.9744533,Snog Rooftop Bar,Good bar. But the attraction here is the stunning view.,wikivoyage,red,Galip Dede Cd 56,https://www.snogroofbar.com/,Drink,"(41.0265013, 28.9744533)",,,,,,,,,"(41.0265013, 28.9744533)"
0,,41.0327,28.9767,360 Istanbul ,Great reviews for this rooftop restaurant with panoramic views.,wikivoyage,red,"Istiklal Cd 163, Mısır Apartmanı, floor 8 ",https://www.360istanbul.com/ ,Eat_Splurge,"(41.0327, 28.9767)",,,,,,,,,"(41.0327, 28.9767)"
8,,41.03181,28.97943, Zeytuna ,"Lebanese kitchen, from familiar, like falafel and hummus, to offbeat, like mutabal eggplant or mousaka chicken. Alcohol includes signature cocktails, named after Lebanon cities. There is a main hall and a bar, and the latter regularly hosts tango and salsa lessons, live blues, sometimes theatrical performances and film screenings.",wikivoyage,red,Hayriye Cd. 12,http://zeytuna-cezayirde.business.site/,Eat_Mid-range,"(41.03181, 28.97943)",,,,,,,,,"(41.03181, 28.97943)"
7,,41.0268623,28.9740831,Privato,Traditional Turkish food with a focus on vegetarian dishes. Great for breakfast. Has a small patio in the back with a view of the Galata tower.,wikivoyage,red,Tımarcı Sokak 3B,http://privatocafe.com/,Eat_Mid-range,"(41.0268623, 28.9740831)",,,,,,,,,"(41.0268623, 28.9740831)"
6,,41.028618,28.973056,Miss Pizza Sishane ,"Very cozy Italian restaurant run by three women serving pizza, pasta, and salads.",wikivoyage,red,Meşrutiyet Caddesi 86A ,http://www.misspizza.com.tr/ ,Eat_Mid-range,"(41.028618, 28.973056)",,,,,,,,,"(41.028618, 28.973056)"
5,,41.032826,28.976665,The House Café ,"They serve giant salads, main dishes and pizzas pleasing even to the gourmets. The menu is seasonal which allows them to use only the freshest ingredients.",wikivoyage,red,Istiklal Caddesi Mısır Apt. No:163 ,http://www.thehousecafe.com/ ,Eat_Mid-range,"(41.032826, 28.976665)",,,,,,,,,"(41.032826, 28.976665)"
4,,41.028669,28.976346,Leb-i Derya ,"A nice cafe-restaurant with a splendid view of the Bosphorus and the Topkapi Palace in Tunel, Beyoglu.",wikivoyage,red, ,http://www.lebiderya.com/ ,Eat_Mid-range,"(41.028669, 28.976346)",,,,,,,,,"(41.028669, 28.976346)"
3,,41.035313,28.980245,Haci Abdullah Lokantası ,One of the best Ottoman restaurants in the country. You can find very traditional foods there. No alcohol.,wikivoyage,red,"Ağa Camii, Atıf Yılmaz Caddesi (Eski Sakizagaci Caddesi) No: 9/A ",http://haciabdullah.com.tr/ ,Eat_Mid-range,"(41.035313, 28.980245)",,,,,,,,,"(41.035313, 28.980245)"
2,,41.03481,28.97783,Nevizade Street,"One of the most famous streets in Istiklal boulevard. It's narrow, and is mostly known for its meyhane style restaurants, where lively conversation is the main dish on every table, next to fish and Rakı that is.",wikivoyage,red, , ,Eat_Mid-range,"(41.03481, 28.97783)",,,,,,,,,"(41.03481, 28.97783)"
1,,41.0325552,28.9757155,Ficcin ,"The restaurant offers an exceptional value lunch, but is also pleasantly busy at night. Several of the staff speak English and foreign tourists are welcome alongside the many locals who eat there regularly. Fıccın is unusual in being a Circassian restaurant, which also serves Turkish food. Seats are available on the street and in several rooms inside. Alcohol is also served.",wikivoyage,red,Kallavi Sokağı 13 ,http://www.ficcin.com ,Eat_Mid-range,"(41.0325552, 28.9757155)",,,,,,,,,"(41.0325552, 28.9757155)"
0,,41.03473,28.97703,Degustasyon Restaurant ,"The restaurant is meyhane style, where lively conversation is the main dish on every table, next to fish and Rakı. A lot of negative reviews.",wikivoyage,red,Balık Pazarı S. 25 ,http://www.degustasyon.com {{dead link,Eat_Mid-range,"(41.03473, 28.97703)",,,,,,,,,"(41.03473, 28.97703)"
4,,41.024212,28.97612,İbrahim Hakkı Uğrak Börek ,"A bit off the tourist track, the stone oven of this börek shop gives its products a distinctive flavour.  Good value and friendly staff.  Opens early, but not all varieties of börek will be ready first thing in the morning—the peynirli böreği is usually amongst the first out of the oven.",wikivoyage,red,"Müeyyedzade, Necatibey Cd. No:45 ", ,Eat_Budget,"(41.024212, 28.97612)",,,,,,,,,"(41.024212, 28.97612)"
3,,41.03403,28.97771,Şampiyon Kokoreç ,A restaurant mostly focused in ''kokoreç'' — roasted and finely minced lamb intestines (yeap). It tastes great and is very budget-friendly: only 10 TL/wrap. Try stuffed mussels as well.,wikivoyage,red,"Hüseyinağa, Sahne Sk 21, Beyoğlu ",http://www.sampiyonkokorec.com.tr/ ,Eat_Budget,"(41.03403, 28.97771)",,,,,,,,,"(41.03403, 28.97771)"
0,,41.03463,28.98075,Bereket Döner ,"A quite good value restaurant featuring ''döner'' (also on the plate as opposed to the usual wrap/sandwich variety; dipped in tomato sauce to the point of swimming) and traditional Turkish cuisine. The restaurant is a self-service one, i.e., you take a tray, and order your food by pointing at the entrance, and pay at the cash register right next to the food display (take your tableware and bread at this point as you won't be served any at the table), and then take your food to a table—there are two more floors upstairs. No alcohol is served.",wikivoyage,red,"İstiklal Cd, Sadri Alışık Sk 5 ",http://bereketdoner.com/ ,Eat_Budget,"(41.03463, 28.98075)",,,,,,,,,"(41.03463, 28.98075)"
4,,41.02516,28.97438,Seyahan Jewelry ,,wikivoyage,red,Camekan Sokak , ,Buy_Shops,"(41.02516, 28.97438)",,,,,,,,,"(41.02516, 28.97438)"
2,,41.025111,28.972152,Paristexas Concept Store ,"Sertaç Haznedaroğlu, the fashion-forward owner, stocks quirky Japanese labels and rare collections created for an Eastern market by designers such as Marc Jacobs, Vivienne Westwood and Chloé. Also check out custom-made leather bags and shoes by Turkish designer Ahmet Baytar.",wikivoyage,red,"Buyukhendek Cad. 4/A Galata, Beyoglu ", ,Buy_Shops,"(41.025111, 28.972152)",,,,,,,,,"(41.025111, 28.972152)"
2,,41.03457107052878,28.957262428727464,Haliçport ,"Also known as 'Tersane İstanbul'. Combines historic landmarks, blend of unique lifestyles and gastronomical delights, luxury homes and hotels, and a vibrant cultural calendar.",wikivoyage,red,Donanma Cd. ,https://www.instagram.com/tersaneistanbul/ ,Do,"(41.03457107052878, 28.957262428727464)",,,,,,,,,"(41.03457107052878, 28.957262428727464)"
