,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,ao_link,ao_description,address,url,description,fetched_coordinates
146,http://www.wikidata.org/entity/Q6693708,,https://en.wikipedia.org/wiki/Lower_Peirce_Reservoir,Point(103.823333333 1.369444444),1.436,1.3694444444444,103.82333333333,3.0,http://www.wikidata.org/entity/Q131681,Lower Peirce Reservoir,reservoir,C,yellow,,,,,,
147,http://www.wikidata.org/entity/Q6728552,,https://en.wikipedia.org/wiki/Madrasah_Irsyad_Zuhri_Al-Islamiah,Point(103.851972222 1.342611111),3.953,1.3426111111111,103.85197222222,3.0,http://www.wikidata.org/entity/Q132834,Madrasah Irsyad Zuhri Al-Islamiah,madrasa,C,yellow,,,,,,
149,http://www.wikidata.org/entity/Q6781618,,"https://en.wikipedia.org/wiki/Marymount,_Singapore",Point(103.8368 1.3539),1.956,1.3539,103.8368,3.0,http://www.wikidata.org/entity/Q618123,Marymount,geographical feature,C,yellow,,,,,,
151,http://www.wikidata.org/entity/Q6823826,,"https://en.wikipedia.org/wiki/Methodist_Girls%27_School,_Singapore",Point(103.783 1.33295),4.866,1.33295,103.783,3.0,http://www.wikidata.org/entity/Q159334,Methodist Girls' School,secondary school,C,yellow,,,,,,
154,http://www.wikidata.org/entity/Q6925743,,"https://en.wikipedia.org/wiki/Mountbatten,_Singapore",Point(103.8288 1.3142),4.882,1.3142,103.8288,3.0,http://www.wikidata.org/entity/Q50513,Mountbatten,administrative territorial entity of Singapore,C,yellow,,,,,,
155,http://www.wikidata.org/entity/Q6979269,,https://en.wikipedia.org/wiki/National_University_of_Singapore_Faculty_of_Law,Point(103.815 1.3187),4.3,1.3187,103.815,3.0,http://www.wikidata.org/entity/Q180958,National University of Singapore Faculty of Law,faculty,C,yellow,,,,,,
156,http://www.wikidata.org/entity/Q7235101,,https://en.wikipedia.org/wiki/Potong_Pasir,Point(103.8561 1.336),4.697,1.336,103.8561,3.0,http://www.wikidata.org/entity/Q674950,Potong Pasir,residential area,C,yellow,,,,,,
158,http://www.wikidata.org/entity/Q7522931,,https://en.wikipedia.org/wiki/Singapore_Chinese_Girls%27_School,Point(103.8279283 1.321167),4.105,1.321167,103.8279283,3.0,http://www.wikidata.org/entity/Q159334,Singapore Chinese Girls' School,secondary school,C,yellow,,,,,,
161,http://www.wikidata.org/entity/Q7795854,,"https://en.wikipedia.org/wiki/Thomson,_Singapore",Point(103.835 1.355444444),1.733,1.3554444444444,103.835,3.0,http://www.wikidata.org/entity/Q50513,Thomson,administrative territorial entity of Singapore,C,yellow,,,,,,
162,http://www.wikidata.org/entity/Q7811338,,https://en.wikipedia.org/wiki/Toa_Payoh_Sports_Hall,Point(103.852 1.33037),4.679,1.33037,103.852,3.0,http://www.wikidata.org/entity/Q1076486,Toa Payoh Sports Hall,sports venue,C,yellow,,,,,,
163,http://www.wikidata.org/entity/Q7811341,,https://en.wikipedia.org/wiki/Toa_Payoh_Town_Park,Point(103.84778 1.33057),4.311,1.33057,103.84778,3.0,http://www.wikidata.org/entity/Q22698,Toa Payoh Town Park,park,C,yellow,,,,,,
164,http://www.wikidata.org/entity/Q8053778,,https://en.wikipedia.org/wiki/Yio_Chu_Kang,Point(103.844166666 1.381111111),3.826,1.3811111111111,103.84416666667,3.0,http://www.wikidata.org/entity/Q618123,Yio Chu Kang,geographical feature,C,yellow,,,,,,
166,http://www.wikidata.org/entity/Q20052847,,https://en.wikipedia.org/wiki/Bukit_Brown_Cemetery,Point(103.8207959 1.3361057),2.34,1.3361057,103.8207959,3.0,http://www.wikidata.org/entity/Q39614,Bukit Brown Cemetery,cemetery,C,yellow,,,,,,
167,http://www.wikidata.org/entity/Q1513891,https://de.wikipedia.org/wiki/German_European_School_Singapore,https://en.wikipedia.org/wiki/German_European_School_Singapore,Point(103.79138889 1.34555556),3.378,1.34555556,103.79138889,3.0,http://www.wikidata.org/entity/Q572835,German European School Singapore,international school,C,yellow,,,,,,
168,http://www.wikidata.org/entity/Q16589899,https://de.wikipedia.org/wiki/Chopin-Denkmal_in_Singapur,,Point(103.815 1.31348),4.877,1.31348,103.815,3.0,http://www.wikidata.org/entity/Q4989906,Frederic Chopin statue in Singapore,monument,C,yellow,,,,,,
