,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,thing,articleEN,to_drop_key
371,https://www.atlasobscura.com/places/bird-hall-of-bamberg-natural-history-museum,49.894484,10.887971,"
Bird Hall of Bamberg Natural History Museum
","
A beautiful collection of taxidermy birds and rare pomological wax models.
",atlas_obscura,gold,,,,,,,,,,,,,"(49.894484, 10.887971)"
567,,49.9464,10.7253,Q1322872,,D,blue,,,Ortsteil,,Point(10.7253 49.9464),13.072,http://www.wikidata.org/entity/Q1322872,1.0,,https://de.wikipedia.org/wiki/Ro%C3%9Fstadt,http://www.wikidata.org/entity/Q253019,,"('49.9464', '10.7253')"
568,,49.9138,11.0317,Q1384957,,D,blue,,,sculpture trail,,Point(11.0317 49.9138),10.663,http://www.wikidata.org/entity/Q1384957,1.0,,https://de.wikipedia.org/wiki/Kunst-_und_Besinnungsweg,http://www.wikidata.org/entity/Q2293148,,"('49.9138', '11.0317')"
569,,49.902139,10.88757,Q1410032,,D,blue,,,firefighting museum,,Point(10.88757 49.902139),1.172,http://www.wikidata.org/entity/Q1410032,1.0,,https://de.wikipedia.org/wiki/Feuerwehrmuseum_(Bamberg),http://www.wikidata.org/entity/Q11786880,,"('49.902139', '10.88757')"
570,,49.898888888889,10.895805555556,Hotel National,,D,blue,,,business,,Point(10.895805555 49.898888888),1.033,http://www.wikidata.org/entity/Q1416672,1.0,,https://de.wikipedia.org/wiki/Hotel_National_(Bamberg),http://www.wikidata.org/entity/Q4830453,,"('49.898888888889', '10.895805555556')"
572,,49.8331,11.0453,Burgstall Friesener Warte,,D,blue,,,archaeological site,,Point(11.0453 49.8331),13.088,http://www.wikidata.org/entity/Q1015743,1.0,,https://de.wikipedia.org/wiki/Burgstall_Friesener_Warte,http://www.wikidata.org/entity/Q839954,,"('49.8331', '11.0453')"
574,,49.893056,10.886667,Museum für Büro- und Kommunikationsgeschichte,,D,blue,,,museum,,Point(10.886667 49.893056),0.162,http://www.wikidata.org/entity/Q1249029,1.0,,https://de.wikipedia.org/wiki/Museum_Kutz_%E2%80%93_Kommunikationstechnik_und_-geschichte,http://www.wikidata.org/entity/Q33506,,"('49.893056', '10.886667')"
575,,49.853798,10.703834,Niederndorf (Schönbrunn im Steigerwald),,D,blue,,,Ortsteil,,Point(10.703834 49.853798),13.772,http://www.wikidata.org/entity/Q15122859,1.0,,https://de.wikipedia.org/wiki/Niederndorf_(Sch%C3%B6nbrunn_im_Steigerwald),http://www.wikidata.org/entity/Q253019,,"('49.853798', '10.703834')"
576,,49.87036,10.782716,St. Lawrence (Walsdorf),,D,blue,,,church building,,Point(10.782716 49.87036),7.826,http://www.wikidata.org/entity/Q15129137,1.0,,https://de.wikipedia.org/wiki/St.-Laurentius-Kirche_(Walsdorf),http://www.wikidata.org/entity/Q16970,,"('49.87036', '10.782716')"
577,,49.89248,10.897858,Leibniz Institute for Educational Trajectories,,D,blue,,,research institute,,Point(10.897858 49.89248),0.795,http://www.wikidata.org/entity/Q15825520,1.0,,https://de.wikipedia.org/wiki/Leibniz-Institut_f%C3%BCr_Bildungsverl%C3%A4ufe,http://www.wikidata.org/entity/Q31855,,"('49.89248', '10.897858')"
578,,49.836753,10.711113,Ringwall Burgebrach,,D,blue,,,castle,,Point(10.711113 49.836753),13.994,http://www.wikidata.org/entity/Q15842504,1.0,,https://de.wikipedia.org/wiki/Ringwall_Burgebrach,http://www.wikidata.org/entity/Q23413,,"('49.836753', '10.711113')"
